,cluster,position_level_two,count,cap_hit_pct_sum,pct,div_win_pct,conf_win_pct,w,l,pf,pa,net_pts
0,0,defensive_line,54,16.13314814814815,0.47385185185185186,0.4598888888888889,0.4691296296296296,7.666666666666667,8.518518518518519,350.462962962963,373.44444444444446,-22.98148148148148
1,0,linebacker,49,12.58591836734694,0.4654081632653061,0.4643265306122449,0.4617142857142857,7.530612244897959,8.653061224489797,354.53061224489795,382.3265306122449,-27.79591836734694
2,0,offensive_line,44,18.367272727272727,0.4641363636363636,0.4318181818181818,0.45234090909090907,7.545454545454546,8.727272727272727,352.25,377.45454545454544,-25.204545454545453
3,0,quarterback,42,11.090714285714286,0.4856190476190476,0.44642857142857145,0.4633333333333334,7.857142857142857,8.30952380952381,355.57142857142856,375.8809523809524,-20.30952380952381
4,0,running_back,50,5.4272,0.47238,0.45334,0.475,7.68,8.56,341.78,376.66,-34.88
5,0,secondary,52,17.1125,0.4856153846153846,0.47280769230769226,0.4733076923076923,7.865384615384615,8.346153846153847,360.0,374.59615384615387,-14.596153846153847
6,0,special_team,53,2.9271698113207543,0.46533962264150946,0.47016981132075475,0.46305660377358493,7.528301886792453,8.660377358490566,360.66037735849056,379.0,-18.339622641509433
7,0,tight_end,52,4.292884615384615,0.46534615384615385,0.4824230769230769,0.4575576923076923,7.5576923076923075,8.673076923076923,361.46153846153845,382.0576923076923,-20.596153846153847
8,0,wide_receiver,56,11.538214285714286,0.5069464285714286,0.49855357142857143,0.50225,8.267857142857142,8.035714285714286,372.0,373.10714285714283,-1.1071428571428572
9,1,defensive_line,187,16.6896256684492,0.4998770053475936,0.5107112299465241,0.5036417112299465,8.101604278074866,8.11229946524064,366.5935828877005,367.524064171123,-0.93048128342246
10,1,linebacker,196,12.72091836734694,0.48898979591836733,0.49745918367346936,0.49157653061224493,7.918367346938775,8.28061224489796,362.9438775510204,369.0357142857143,-6.091836734693878
11,1,offensive_line,198,18.214545454545455,0.49022222222222217,0.49960101010101016,0.49396464646464644,7.934343434343434,8.257575757575758,363.6363636363636,369.24242424242425,-5.606060606060606
12,1,quarterback,194,9.618350515463918,0.485860824742268,0.5008762886597938,0.4953505154639175,7.876288659793815,8.34020618556701,362.80927835051546,370.87628865979383,-8.06701030927835
13,1,running_back,191,5.492356020942408,0.4907068062827225,0.5021937172774869,0.49375916230366496,7.947643979057592,8.256544502617801,366.1675392670157,370.85340314136124,-4.68586387434555
14,1,secondary,194,17.28922680412371,0.48088144329896904,0.491840206185567,0.48653092783505153,7.793814432989691,8.417525773195877,360.2886597938144,371.0773195876289,-10.788659793814434
15,1,special_team,185,2.8567567567567567,0.4962648648648649,0.4995675675675676,0.4994054054054054,8.054054054054054,8.172972972972973,364.38378378378377,368.92432432432435,-4.54054054054054
16,1,tight_end,187,5.004545454545455,0.4944491978609626,0.5013475935828877,0.49985561497326203,8.016042780748663,8.197860962566844,363.93582887700535,368.54545454545456,-4.609625668449198
17,1,wide_receiver,190,11.26021052631579,0.48590526315789473,0.4995684210526316,0.4919578947368421,7.868421052631579,8.33157894736842,361.20526315789476,369.61578947368423,-8.410526315789474
18,2,defensive_line,124,15.65233870967742,0.5071935483870967,0.4919516129032258,0.5016370967741935,8.241935483870968,8.024193548387096,381.3709677419355,371.25,10.120967741935484
19,2,linebacker,136,13.908161764705882,0.5160147058823529,0.5104264705882353,0.5140441176470588,8.389705882352942,7.882352941176471,381.0,369.18382352941177,11.816176470588236
20,2,offensive_line,128,17.7271875,0.512484375,0.5039140625,0.509703125,8.3203125,7.921875,381.4609375,371.0078125,10.453125
21,2,quarterback,130,10.570615384615385,0.5020692307692308,0.49421538461538467,0.49673076923076925,8.169230769230769,8.107692307692307,377.60769230769233,372.5076923076923,5.1
22,2,running_back,135,5.481851851851851,0.5065037037037037,0.5049185185185185,0.5051851851851852,8.237037037037037,8.037037037037036,380.2,371.7185185185185,8.481481481481481
23,2,secondary,134,16.356194029850748,0.5043955223880597,0.5074552238805969,0.5002388059701492,8.186567164179104,8.067164179104477,378.7313432835821,372.92537313432837,5.8059701492537314
24,2,special_team,139,3.266546762589928,0.5139424460431655,0.5023956834532374,0.5140503597122302,8.338129496402878,7.899280575539568,381.36690647482015,368.705035971223,12.661870503597122
25,2,tight_end,127,4.903228346456693,0.5023858267716536,0.5006220472440945,0.5019055118110236,8.15748031496063,8.10236220472441,377.5590551181102,373.48818897637796,4.070866141732283
26,2,wide_receiver,134,11.918283582089552,0.5222835820895523,0.5267014925373135,0.5260895522388059,8.485074626865671,7.776119402985074,388.4850746268657,368.74626865671644,19.738805970149254
27,3,defensive_line,83,16.200481927710843,0.5078192771084338,0.5140240963855421,0.5098192771084337,8.240963855421686,7.9879518072289155,376.4096385542169,374.48192771084337,1.927710843373494
28,3,linebacker,67,13.448805970149255,0.5265820895522388,0.5124029850746269,0.5246119402985074,8.552238805970148,7.701492537313433,383.35820895522386,369.1940298507463,14.164179104477611
29,3,offensive_line,78,16.56974358974359,0.5259230769230769,0.5330897435897436,0.5266923076923077,8.551282051282051,7.717948717948718,380.56410256410254,369.2692307692308,11.294871794871796
30,3,quarterback,82,10.623414634146341,0.5388292682926829,0.5345731707317073,0.5353536585365853,8.71951219512195,7.487804878048781,385.390243902439,363.9878048780488,21.402439024390244
31,3,running_back,72,5.988888888888889,0.5331111111111111,0.5174027777777778,0.5246388888888889,8.625,7.569444444444445,384.1111111111111,363.3611111111111,20.75
32,3,secondary,68,17.03514705882353,0.5584411764705882,0.5294264705882352,0.5588382352941176,9.073529411764707,7.161764705882353,391.8235294117647,361.3235294117647,30.5
33,3,special_team,71,3.132957746478873,0.5098028169014084,0.5187464788732394,0.5020704225352113,8.267605633802816,7.971830985915493,372.8732394366197,372.14084507042253,0.7323943661971831
34,3,tight_end,82,5.436097560975609,0.5322317073170731,0.5071463414634146,0.5246829268292683,8.621951219512194,7.585365853658536,380.5853658536585,363.3170731707317,17.26829268292683
35,3,wide_receiver,68,10.771617647058823,0.49130882352941174,0.44982352941176473,0.46967647058823525,7.9411764705882355,8.235294117647058,360.1764705882353,374.6617647058824,-14.485294117647058
